是否看过,日期,评星,赞成数,评论内容
看过,2017-07-13 00:49:49,还行,541," 比周星驰徐克燃爆万倍，泼墨写意热血屌炸天炫酷特效，红颜香逝煽情，荷尔蒙热血反抗精神。彭于晏不羁叛逆，欧豪酷狠天蓬，余文乐版杨戬酷帅，倪妮活泼痞子阿紫+郑爽清纯阿月销魂抢戏，俞飞鸿阴险天尊迷恋权力草芥人命。收复妖云冷冻、孙猴在硕大金箍棒奔跑开挂决战，青筋暴起却暗藏悲怆叛逆，很扯过瘾
        "
看过,2017-07-10 09:09:29,还行,394," 3.5。1.非常郭子健，或许是《悟空传》带给我的最大感受。2.如何在商业大片中夹藏私货，恐怕是每个有作者意识的导演的必修课。3.“抓妖云”那场戏，云的模样很梦魇，有鬼火点点，让我想到了《搜神记》里的祸云。4.跟今何在老师一样，打三星半。
        "
看过,2017-07-13 22:06:55,很差,220," 阿紫发出来杀猪般的哭声……
        "
看过,2017-07-09 21:35:16,推荐,542," 颜值、美术、特效三高的电影，可看度很高，全体演员演技都在线，朋克摇滚、热血中二，感情戏还很动人非常不容易。最大的遗憾是连贯性的欠缺，人物成长后角色关系乱掉，但已经达到可以二刷的程度。想要一个余文乐这样的大哥哥
        "
看过,2017-07-13 00:06:39,很差,491," 就是一部特效不错的烂片，这几年孙悟空都被拍烂了
        "
看过,2017-07-13 12:57:44,很差,349," 让我冷静一下……全是槽点，哭泣
        "
看过,2017-07-13 11:21:21,较差,296," 没想到俞飞鸿居然会接拍这种爆米花电影，你宁可在垃圾片（悟空传）中被供为天尊，都不愿在良心剧（如懿传）里被封为皇后，真真是超凡脱俗啊！
        "
看过,2017-07-15 13:25:09,还行,54," 不是原著粉。一部嫁接在《大话西游》灵感基础上的中二故事，改编成一个跳转两次的特效大片，对西游的关键信息，跟接连不断的类系列一样，早已荡然无存。反复的变大变小，反复撸金箍棒毁天灭地，其实已经清楚讲明这部电影的本质啦
        "
看过,2017-07-09 22:27:26,推荐,332," 中二病大爆发的电影，情绪宣泄多于逻辑和细节，但热血满格，看到最后都有点感动了。美术和服装做得真心不错，天蓬的飞镰与反派中招后土崩瓦解的特效很炫。倪妮和飞鸿的扮相很养眼。
        "
看过,2017-07-17 00:08:09,较差,126," 为什么宣传的时候不说好是爱情片？爱情戏拍起来跟青春偶像剧一样，中间还穿插着各种三角关系，青春片的感觉太重了，而且拍的一样幼稚，可怕的是爱情戏在整部电影里的比重又这么大。再就是片中为了港片气质，设置了一些笑点，不管是表演的问题还是导演风格的问题，都有硬搞的感觉，笑点简直就是尬点。
        "
看过,2017-07-15 19:07:44,还行,81," “想想你经历的这一切，黑暗和痛苦，你现在拥有的才是以前不曾拥有的。” 不觉得烂，只是没多么好。孙悟空放下、认输的时候，是有一些泪目的。“来不急好好告别，空留一段记忆的线。”“我们下次见面的时候，都用尽全力吧”
        "
看过,2017-07-12 08:19:47,较差,447," 挺烂的，强行主角光环，强行高层黑幕，唯一记住的是还算燃的BGM
        "
看过,2017-07-13 18:48:18,较差,177," 這樣的劇本竟然拿得出手，導演竟然還收貨，莫名其妙亂來到一個點，翻了無數次白眼🙄️。唯一能誇的只有黃智亨的特效了
        "
看过,2017-07-09 22:14:01,很差,350," 选彭于晏真是败笔，台词一股奶奶的台湾腔超逊的，而且剧情改妈不认，什么鬼。倪妮演技照样挤眉弄眼。搞笑段子很垃圾。
        "
看过,2017-07-13 18:05:38,较差,206," 史上最讨厌的紫霞
        "
看过,2017-07-09 13:27:29,较差,227," 一桩公案可以下定论了，《西游降魔篇》真是星爷拍的，郭子健没有这个能力，不适合拍商业大片。完全没有故事，都在讲人物情史，服化道差到极点了。今何在若不死心，一切从头来过吧。
        "
看过,2017-07-11 20:25:11,力荐,383," 戴美瞳的大圣，大战一半去换发型的天尊，好色的卷帘，古板的天蓬，有点儿像紫霞的阿紫，宛如智障的阿月以及永远都差不多的二郎。剪辑的真是乱七八糟，好在特效可以补救回来，反正金箍棒一扛，背景音乐一响，观众就燃了起来。这算是我看到第一次说起筋斗云来历的。五星给苦练猴子眼神的彭于晏。
        "
看过,2017-07-09 22:37:08,较差,398," 故事虎头蛇尾的，特效倒是下了真功夫，但电影实在令人坐立难安，真的很吵。郑爽还是有那股劲儿的。
        "
看过,2017-07-12 13:53:27,还行,295," 郭子健作為《西游·降魔篇》的聯合導演，兩部作品有個人風格的延續，反抗強權與宿命的主題非常熱血，不過愛情戲刻畫略弱了些。倪妮的表演是眾主演中的短板，歐豪小驚艷，天蓬一角第一次讓我發現他的帥點。
        "
看过,2017-07-13 20:53:52,较差,128," 毫无逻辑的故事，毫无说服力的人物塑造还有从头到尾奇怪的节奏，中段的情节更是无聊得让人摸不着头脑，要不是导演还有一口抗争的气一直撑着，影片可能真的变成一出特效闹剧。所有的中二感、漫画感甚至是笑点都来的莫名其妙，而全片发挥最好的居然是倪妮和欧豪。
        "
看过,2017-07-13 00:45:04,力荐,334," 从“唐钰小宝”开始，就很喜欢彭于晏。悟空传里的悟空也是有突破，那根金箍棒就大有不同，相比小时候看的《西游记》，这片子最大的特点是把悟空个性化的东西展现出来，不屈的桀骜和在命运之下的无能为力的感觉。热血。有人说，彭于晏声音出戏，但这就是彭于晏版燃魂的悟空，不是六小龄童也不是周星驰。
        "
看过,2017-07-10 01:26:26,推荐,169," 7.9万达CBD首映 随便翻了几个人的评分，给变5打2、3星，给这个打1星，呵呵。比《西游伏妖篇》好得多，也拍出了“妖猴”的样子，诟病彭于晏的湾湾腔？你是有多久没看他的电影，今年这几部的台词一部比一部好，进步简直神速。第一次get到了欧豪的帅，男演员集体完成度都挺高，相比之下女角较弱。
        "
看过,2017-07-13 08:34:32,很差,173," 都已经2017年了还在演这种中二病爆棚的青春叛逆片，为啥不加上堕胎戏份？
        "
看过,2017-07-06 12:24:53,推荐,197," 真正反叛专制的英雄，角色很珍贵，比其他戏说西游里的悟空更有血肉，不是情圣（周星驰版）或野畜（林更新版），是个英雄。个别漏洞，女主表现平平，瑕不掩瑜。十三年前果然比今天还有血性，不知道在子弹飞了一会儿后这片会被禁吗。
        "
看过,2017-07-13 01:12:05,推荐,113," 悟空传里面的每个人，都是心事重重的样子，都被重重回忆困住，猴子和阿紫，被花果山的晚霞困住；天蓬，被星河里的星石困住；杨戬，被人间花的种子困住。我们能在他们身上看到了自己。
        "
看过,2017-07-13 00:24:44,推荐,245," 比预期的要好一些，特效做的不错，剧情也可圈可点，彭于晏的口音有稍微出戏，不过整体还好了，郑爽虽然出场不多，但是表现挺亮眼的。倪妮美的，演技还好
        "
看过,2017-07-13 07:12:23,很差,159," 彭于晏和倪妮cp感弱到可以忽略 色调凝重+没故事+123分钟=又臭又长，西游拍那么多，最好的还是西游降魔篇
        "
看过,2017-08-23 03:41:55,较差,42," 剧情屎，倪妮更像颗老鼠屎。今何在是怎么做到把自己整容得亲妈不认的？除了特效外无一处不让人想吐血。这不是“悟空传”这是三傻在发癫...
        "
看过,2017-07-13 21:52:57,很差,134," 猴子斗了个天机处物料管理主任，就敢说斗破了天？天大的玩笑了。
        "
看过,2017-07-13 15:01:49,较差,152," 进了原著书迷场，身边各种吐槽和骂，侧面反映出电影品质。或许是因为只拍了大闹天宫前门，格局太小？还是因为演员太尴尬？没看过书，从消费角度无疑是超值的，硬配完全走在国产先列。但是依旧只能两星：煽情和狗粮就占了一个多小时，后段剧情发展几乎全靠煽情，煎熬死了MMP，简直西游版《匆匆那年》。
        "
看过,2017-07-13 13:26:11,还行,60," 特效尚可，故事改编欠佳，解构西游世界的内容中加入新的角色效果一般，保留了“你无须知晓，它只在我心”的痴心与“诛你不死心”的无奈。基于原著内容的情感依然存在，有情，就会相欠。另外，杨迪，请你消失好吗？！
        "
看过,2017-07-13 18:12:37,还行,33," 人物情感线没立起来，所有暗黑悲壮都变的假大空。至于视效，我就说徐克做的红孩儿绝对是近年华语大片里颠覆性级别的了，其他的“大片”不想多说。
        "
看过,2017-07-13 16:15:54,较差,88," 最燃的地方是，全片结束后，片尾书法字体的书中台词，唤醒了一颗中二正义看《悟空传》书的心。电影的话，最多2.5。
        "
看过,2017-07-13 23:29:01,较差,68," 虽然特效做得还不错的样子（对国产大片大特效场面喜欢滥用慢镜头这个“习惯”略不满），但故事也太特么“傻”了吧？各种「卧槽、神经病啊、这也能编得出来、实在不知道编导到底怎么想的？…」的情节和台词啥的，真是看得我嬉笑不已、懒得吐槽；俞飞鸿的造型太王菲了；看到不少《西游·除魔篇》的影子。
        "
看过,2017-07-16 07:13:00,较差,31," 悟空太累了，该歇歇了。
        "
看过,2017-07-09 11:18:18,还行,223," 有种倪匡改编古龙的感觉，将可能其实不太适合改编的原著成功地改成一部结构非常清晰、可以说是过关升级式的电影。确实显得形不似而神似，因为反叛的内核还是抓住了。虽然有些地方很中二，但还是浪漫和热血的。也可以在里面看到很多奇幻武侠片的痕迹，对周星驰和徐克的致敬，看得还挺开心。
        "
