是否看过,日期,评星,赞成数,评论内容
看过,2017-10-14 19:29:43,推荐,290," 要么拥有很直很直的人格，要么拥有很多很多的钱。
        "
看过,2017-10-13 12:34:03,None,617," 虽然结尾很弱也不同意那种「何不做一对鸳鸯大盗」的假想。男女主根本不是同类。
        "
看过,2017-10-09 20:22:55,推荐,447," 学生作弊拍成了间谍惊悚片，好像《十一罗汉》。节奏出色，尤赞地铁站追逐戏，会想起《法国贩毒网》。可见把类型片叙事策略吃透后，各种题材都能驾轻就熟。角色关系加强了戏剧冲突，最后上升到教育体系和社会阶层。三次“镜渊”用的好，暗示了一步错步步错的无底洞。最大缺陷是结尾角色的转变过于突兀。
        "
看过,2017-10-13 12:33:50,推荐,259,
看过,2017-07-22 20:30:22,力荐,783," 印度三傻级别的泰国神级作品。。。豆瓣分数比敦刻尔克还高不是没有道理的。😃题材让人怀念初高中那段考试抄答案的日子。
        "
看过,2017-10-13 21:59:44,推荐,258," 人生本来就不公平，何来努力与作弊的说法？
        "
看过,2017-10-17 21:31:42,推荐,224," 政治正确、道德正确的结尾，让我感到有些腻味。女主最后的良心发现，只会正中统治阶层的下怀。富爸爸的孩子，即使被她揭发检举了，依然会奔赴其他款式的闪亮前程。穷爸爸的孩子，则可能因此永世不得翻身……
        "
看过,2017-10-14 04:14:48,推荐,142," 将泰国校园青春片混搭好莱坞间谍动作片，就像【死侍】里超级英雄电影混搭屎屁尿的美式性喜剧，【金刚狼3】里混搭西部片和公路片一样，类型叠加让某一传统类型片焕发了新机，它已经不是我们印象中泰国电影的节奏，已经去地域色彩，节奏上变成了纯正的好莱坞商业类型片，跟【摔爸】的创作思维一样。
        "
看过,2017-08-20 23:23:39,较差,190," 为了紧张感把那么多戏都拍的像广告，生生把一个半小时的故事拉到了130分钟，技术水准是好，但完全本末倒置。也不能忍受以女主为视点的强行醒悟和男主的强行黑化，剧作太偷懒。
        "
看过,2017-10-14 18:41:35,力荐,224," 紧张的我都想吐。难怪能过审，原来最后强行正能量，可我想看双学霸联手赚钱的故事！！！
        "
看过,2017-10-14 23:34:12,还行,197," （ 注意有点剧透，没看过的快用手盖住。）说实话除了女主角天资过人，那些作弊手段真的很烂，暗号动作大而浮夸又没效率特别不实用。还有从起初渲染作弊的成就感，到之后因为叛逆变本加厉，最后又因为内疚失望产生的转变，都特别中二。结果牺牲了所有人，自己化作一朵白莲花，特别虚伪。
        "
看过,2017-10-20 17:03:00,推荐,231,"         到影院为这部口碑、票房爆棚的电影做了一次贡献。直面严酷现实，尽显正确“三观”，泰国同行在编导演、剪音摄上的纯正技艺，着实“惊”着我了！       欢迎主流商业市场里又杀出来了一支亚洲新军！
        "
看过,2017-10-15 00:02:52,还行,167," 【剧透】仅限于一次性消费的紧张感，回味很糟糕，我一直认为公义并不依赖于实现，而在乎体察，电影对男一命运的体察是不够的，因此结局不是太正确，而是太不正确。作弊之错并非压力和后果，而是对他人资源的不正当掠夺，女主所为实际是劫贫济富，对此无反思是其一，继续摧毁男主命运却不察是其二。
        "
看过,2017-08-25 23:22:51,还行,353," 再一次证明青春片有无限的可能性，or类型嫁接有无限的可能性。把作弊拍成间谍片、侠盗片这个脑洞让人服气，可惜剧本弱了，最后强行洗白有些无趣。完全可以再往考试制度深挖。这是一次属于导演风格的胜利，原本以日影为养分的泰国青春片也在进化，反观国产青春片还蠢得像单细胞生物，激气。
        "
看过,2017-10-15 17:46:43,推荐,139," 我们身处同一个星球，却相隔不同时区；你们拿着同样的铅笔，却印着不同条码。这世界从来都残酷得像一场大考，财富是分界线、智商是分水岭，早已被划分三六九等的人生，欢迎加入这场考试。悬在高处的优等生海报堆在角落蒙尘，涂满铅字的答题卡试题戕害无数梦想。人生的标准答案，是试卷背后的膻腥真相。
        "
看过,2017-09-25 19:26:41,推荐,300," 不止好看那么简单，关于两个阶级的描写也很棒。但作弊拍的这么燃，剪辑和导演、配乐都功不可没，甚至有了谍战大片+夺宝联盟+《地心引力》手心冒汗、惊心动魄的观感，整体都非常厉害...#真实的想吃男主，好可爱#
        "
看过,2017-10-13 17:25:46,还行,234," 两场考试戏的紧张感营造相当成功，几乎是紧张到想要呕吐了。但整体思想深度稍欠，无论是对教育制度还是阶级分化，影片都是浅尝辄止。其实富二代/学渣与贫困生/学霸的两组人物关系是可以有更多叙事张力的，然而导演没有做过多讨论，从我的角度是觉得有些可惜，但对普通观众而言也是够的。
        "
看过,2017-10-09 22:42:13,推荐,193," 从内核上说，很像是越狱片，都旨在用一系列不可思议的精妙设计，去逃脱一个无处不在的牢笼。在这里，牢笼可以是教育体制的腐朽，也可以是整个社会的不公。但也由于这种黑暗的指向并不足够鲜明，作弊的正义性也就值得商榷，因而最后的收尾，多少有那么点扫兴
        "
看过,2017-10-15 18:05:03,推荐,169," 工整又流畅，所有表演全都在线。悬念紧张营造非常自然，喜剧搞笑部分也不飘浮。作为一部主流商业片，结尾的忏悔设定也能接受，完全没有说教意味。只是这翻译，结尾班克家新洗染店，为什么翻译成银行（bank）洗衣熨烫？？？
        "
看过,2017-10-22 10:53:07,还行,77," 有脑子的出脑子，有钱的出钱，这叫人尽其才，物尽其用。至于没钱、没脑子又没长相的，至少我们还有梦。
        "
看过,2017-10-14 10:40:09,力荐,225," 泰国人拍电影已经进步到这个地步了，可怕。节奏棒呆，运镜牛掰，剪辑酷毙，气氛惊险，血脉贲张。一场Trick并不惊人的作弊，拍得比谍战还让人手心冒汗，又激动又忧伤——这才是致“我们终将逝去的青春”啊。女主的长相，第一眼好吃藕，第二眼，见仁见智，第三眼，好适合剧情，第四眼，妈呀太高级了
        "
看过,2017-10-14 14:56:00,较差,65," 没觉得多天才，那么点答案还要靠两个人硬背。。。。。。政治正确的结尾真恶心。一开始脱鞋传橡皮擦就蠢透了。。。
        "
看过,2017-10-13 13:13:56,推荐,132," 青春片外衣包裹的类型片，好看得出乎意料，娱乐元素满满，不乏针砭时弊，社会的贫富差距，教育制度的陈腐黑幕，少年们若有若无的情愫以及各自的成长转变，均铺设得十分扎实；配乐与剪辑加分，作弊拍成了悬疑谍战，着实令人惊喜；黑化情理之中，政治正确遗憾；聪明真是好啊，智商碾压一切。
        "
看过,2017-08-12 22:57:12,推荐,89," 非常大胆非常新人类，居然把高中生考试出猫（作弊）拍得如此花里胡哨惊心动魄，观感堪比谍战大片。佩服。
        "
