是否看过,日期,评星,赞成数,评论内容
看过,2017-12-27 22:33:49,较差,250," 本来贫嘴的部分挺喜欢的，但是马猴？那句“还有很多姑娘，没用过的，干净”恶心到我。唧唧歪歪的感情戏不喜欢，男一女一别扭死了，男二女二欢喜冤家很逗。叫韩庚大叔的女演员虽然身材蛮好，但是脸完全不像能叫他大叔的年纪···场里的人大多笑得很欢，但是这种成人向的电影带小孩来看的家长是怎么想的
        "
看过,2017-12-30 17:09:10,很差,251," 这个烂片一个劲在豆瓣买开屏广告，郑恺和韩庚完美诠释什么叫油腻×2，谁给你的勇气？梁静茹么？
        "
看过,2017-12-27 09:11:37,还行,165," 这个系列其实应该算是前IP时代就诞生的，但也是一直不愠不火的平庸之作。这次节奏和结构上依然特别中规中矩的都市爱情剧，但于我来讲稍显亮点的是并未言明但很明显的川渝特色，以及或许是拉拉蓝后的EX话题已然被广泛点绿，这次编剧收尾的方式并未掉入以往国产爱情片的窠臼。
        "
看过,2017-12-29 22:35:47,还行,216," 竟然是在成都拍的，成都现在拍的都市场景完全不输北上广。前半部分依旧是各种插科打诨，段子笑点起飞，后面有点苦情和矫情，还好最后的狠，其实就是成长的必修课。
        "
看过,2018-01-01 23:06:04,较差,171," 气死了，林佳和丁点不是找小狼狗吗？！找的都是些啥玩意儿啊？连韩庚都不如实在太荒谬了。就问一句全片的演员，你们信你们演的角色吗？信吗？！
        "
看过,2017-12-26 21:40:39,较差,196," 段子戏就好好讲段子，聊什么感情，脏！另外编剧你解释一下作为一个爱情喜剧，全剧的剧作力量奔着俩人和好发力，你结尾突然告诉观众他俩分手？你是在糊弄谁呢？田羽生这辈子的极限也就是前任1了，那部戏好就好在不想讲故事，老老实实聊段子。
        "
看过,2018-01-02 17:02:35,很差,252," 朋友圈里看这部电影感动的，哭的稀里哗啦的，都可以拉黑了。作逼筛选机没毛病
        "
看过,2018-01-01 16:42:35,很差,337," 中华巨婴爱情观
        "
看过,2018-01-01 20:43:43,较差,256," 有空吃芒果和在广场上发疯，不如当面好好花时间谈谈和好或是分手。
        "
看过,2017-12-26 21:16:53,力荐,306," 刚看完点映，比前两部都好。1给了四星，2给了三星，3就只能给五星了。笑点不尴尬，郑恺大逗比；韩庚负责哭点，也不错。患得患失，正是爱的表现；不能再彼此守护，就放手吧！
        "
看过,2017-12-29 23:41:04,还行,178," 唔，女3王梓出场，我还真以为是他舅妈。 她饱经沧桑的脸对着含根油腻地一口一个大叔和含根一口一个小朋友我虎躯一震起了一身的鸡皮疙瘩。 在这必须强调一句，暖男真的非常可怕，在你刚分手后的感情空档期趁虚而入。嘘寒问暖哪个女人守得住。 另外女主双眼皮割太假啦！
        "
看过,2018-01-06 11:32:11,很差,134," 本片的巨婴价值观令人作呕了，男女主只懂在情感里死要面子，互相作，互相威胁，却不能为自己的选择负责，幼稚无误了。看哭的目测心理年龄还停留在15岁的那个夏天。特别适合认同“男人就是要出去玩的”“女人过了黄金期就不值钱了”等观点的男士女士观看哦🙃本片已加入#希望豆瓣开放零分#豪华套餐
        "
看过,2017-12-26 00:48:08,较差,178," 这有什么可拍到3的，也是执念。不过这么荤的故事在市场环境下创作出来很是不易。但女演员一水的的整容脸是怎么回事，女主简直是杨天宝+宋茜+杨子姗+熊黛林：）
        "
看过,2017-12-29 14:11:10,很差,142," 室内情景喜剧合集。吃饭喝酒迪厅斗嘴就这么几招，非常乏味。其实可以做成很成功的类型片，但是太单调。某些价值观认同不了。这个电影离普通人不近。最后那个平行剪辑过于的笨拙、矫情令人恶心。
        "
看过,2017-12-26 22:48:03,还行,138," 1、网络情感语录大合集，张口闭口“你们男人xxx”“你们女人xxx”，大家都是成年人道理都懂；2、比起前一部完全的精虫上脑，这部至少把分手后那种心理博弈表达到了，放不下又不得不放下；3、哪有那么多久别重逢，不联系久了都不过是陌生人一个。
        "
看过,2018-01-01 21:31:22,很差,157," 我就把话放在这儿，三部，全是烂片。（微笑脸.jpg）
        "
看过,2017-12-28 17:17:34,力荐,173," 前任也最终章了，看第一部的时候还在上学，那时候没有前任也没有现任，现在还是没有前任，但因为有了最好的现任。第三部是系列最佳，真好看，走心了。我的共鸣在于，好好珍惜眼前人，如果爱着就不要随便说分手，如果不爱了，就好好说再见。
        "
看过,2017-12-29 21:40:09,较差,87," 
又名《前任3：外围总动员》，那位上海绿茶婊见到前同学吃盖饭道出中心思想：嗯，还是原来的味道啊！（有口过？）还颠覆了爱乐之城的主题：你真相信那位阳痿男（川？沪？）没有被婊老婆绿吗？PS：这片能找来那么多叫不上名字来的整容女也是费劲心思，她们去配韩庚和郑恺还真值得天长地久啊
        "
看过,2017-12-30 14:43:42,推荐,150," 《前任3：再见前任》：它极易让人感同身受，源于不论是情侣微妙的心理矛盾，还是时下年轻人泡吧宿醉、依赖社交媒介的生活方式，都表现得详尽有加。剧情打破了主角重修旧好的俗套，遗憾更能留出供人回味的空间，是这个系列最好的一部。包袱抖得漂亮，开车上路、笑果不错，夸张的表演收放自如。★★★☆
        "
看过,2017-12-31 21:16:11,还行,83," 计算器666666那里很好笑。价值观歪就算了，导演是怎么选角的，一选就选了四个整容脸的女角色，而且还长得忒像.....
        "
看过,2017-12-30 16:49:23,力荐,171," 喜欢这样的结局，没有谁会空等着谁，伤口只会成为伤疤。
        "
看过,2017-12-29 00:17:52,很差,143," 以恋爱为目的做色情传播，总局真的不查吗
        "
看过,2018-01-06 09:45:45,较差,76," 这片票房9亿？干爆星战？年轻的朋友们，你们怎么想的？
        "
看过,2017-12-26 21:52:01,较差,99," 一个爱乐之城式的故事拍出了快手的风格。韩庚怕不是扮至尊宝扮上瘾了。女主像整容过度的高圆圆，导演还敢给她割出来的双眼皮刀疤大特写😱，看到妹子稀里哗啦的擦眼泪，喵喵喵？这个结局我喜欢，强行加🌟
        "
看过,2017-12-27 09:05:40,很差,143," 不如前两部逗乐子，太沉闷了。
        "
看过,2017-12-30 14:31:49,推荐,120," 一般电影就两个有情人怎么走到一起，这电影讲两个有情人怎么走散。看起来是误会，试探导致了两个人分手，实际上还是某个阶段两个人确实不再合适，已经缘尽。看主角们这么痛，也羡慕他们是彼此的念念不忘。对我们而言，成为别人生命的主角很难，更多时候我们不过是对方的某一任。
        "
