是否看过,日期,评星,赞成数,评论内容
看过,2017-07-08 21:50:57,还行,10," 用日漫风格来聚焦日据伪满洲时代背景，青春校园、暴躁热血、极度暴力和性萌动，这样的题材在内地还比较罕见，加入了主旋律，所以成功过审。总体而言，形式感还是成功的，但剪辑比较弱，故事主线也比较游离。印象深刻的是一些动作戏的镜头感还有主演的颜值，还有女排那段美妙的身材特写。
        "
看过,2017-07-14 17:02:09,还行,10," 毫无期待去看结果竟然不错。嘻哈乐感觉的漫画夸张风，除了把男高写成大学，与男主性格出身不太符，设定都还好。青春荷尔蒙转为有理由的暴力才有意思。几个日本演员的角色很有趣，热血高校里的花瓶成了家族担当。日满时期东北人与日本人都要面对身份疑问，这是抗日叙事之外的人性故事
        "
看过,2017-10-21 10:30:19,较差,1," 日本动漫风格的动作片和抗日背景结合下的爱国片放在一起感觉就是不太搭？监制的钮承泽，所以最初的背景地的设想或许是在台湾？
        "
看过,2017-07-12 21:26:47,很差,20," 拍不出热血高校的纯粹，也请别拿抗日热血来充数，不伦不类的尴尬让人厌恶，更别提还摊上了一个烂导演，剧本剪辑几乎全程失控，也就一两场打斗还算可圈可点，却在前后都穿插大量意义不明的空镜头。连我姐的颜都拍不出来，摄影师狗带吧
        "
看过,2017-07-12 16:49:54,力荐,61," 这部电影非常了得，暴力是一个少年让这个世界能听懂的最后的语言，当这个世界都行尸走肉，只有文化活着，才是民族活着，痞痞的帅，温婉的美，萌蠢的配角……每一个角色都找到了适合自己的表达方式，值得回味，还会再看一遍。
        "
看过,2017-08-29 10:52:00,很差,2," 跪舔日式美学，煽动民族情绪，就不能用中华民族的传统技法——手撕鬼子、裤裆藏雷来决一死战吗？
        "
看过,2017-07-26 20:30:51,较差,1," 两星半，无论是钮承泽还是蒋卓原，对电影感的效果营造还是没问题的，但问题出在：就算抛开热血高校，本片这样的风格完全可以打造成邪典电影，但电影非要跟大环境联系起来，导致B级风格与商业诉求形成了割裂，想要拍成风格化作品，却还不忘主流元素，看看姜戈就知道问题所在了，大甜甜挺适合这类角色
        "
看过,2017-07-13 02:39:24,还行,7," 基本及格，能看出来是力挽狂澜剪辑了N遍才理通了逻辑。败在最后的结局上，太捉襟见肘。换个导演来就是妥妥的垃圾片儿，一部靠剪辑拯救的电影。配角抢眼，景甜还是傻白甜的形象。太多碎镜头和慢镜都在赤裸裸的揭示演员演技功力的极度匮乏，所以成片能处理成这样也是真心牛逼了。
        "
看过,2017-07-05 20:25:12,较差,2," 戏不分轻重，只分打架的人数和时长。始终没有矛盾冲突的集中处理，动作戏跟中心事件的关联不强，想要与大背景结合，却只剩下手法单一的以打架为表现的解决方案。所有人物线的最终处理都非常草率。看预告片时候觉得不错的段落，放在片中都平平。
        "
看过,2017-07-14 14:03:17,还行,1," 二次元版抗日神片。整体质素不错，除景甜平淡表现外，几个男孩子都蛮生活化，林遣都和黑木美沙更是亮眼。但价值先行严重限制了角色和故事。欧豪炫技般的跑酷浮夸而近妖，“中国人不打中国人”的台词来得没头没脑。用全程日漫+《热血高校》风吸引年轻人，师夷长技以制夷的抗日，主创吃相相当难看。
        "
看过,2017-07-14 13:05:23,还行,10," 青春抗日版《热血高校》，导演简单粗暴叙事，却避免《少年》《长城》溃败。新颖二次元动漫剪辑，一言不合团战、背摔、拳拳到肉，高潮肌肉男PK与群欧看得很燃。林遣都和黑木明纱日本姐弟对战争争执，满洲人对驱除鞑虏、赤色读书会、抵抗奴性洗脑，刘德凯隐忍有骨气。许多人见景甜死黑，不人道
        "
看过,2017-08-22 00:09:10,很差,5," 终于见识到又精分又眼皮浅又爱装叉的剧组长什么样了 用口头手撕鬼子的爱国精神假模假式地玩着源于日本的纯二次元梗 你最反对的就是你最迷恋的 这难道就是你对现实的后现代控诉嘛！另外 日语里高校指的是高中不是大学 这种初级常识都弄不明白 你们快去伪满洲国接受再教育吧 马鹿野郎！
        "
看过,2017-07-12 21:39:48,较差,20," 给大甜甜爆灯
        "
看过,2017-07-13 11:43:21,较差,14," 景甜就是个幌子啊…说实话，不怎么热血，被预告片骗了
        "
看过,2017-07-19 22:26:03,还行,2," 欧豪飞檐走壁追景甜就算了，黑木美沙和景甜约澡是怎么回事？除了两主角外，其他演员都发挥得可以，但不能好好打架吗？国恨家仇尴尬得够呛，决战还要用阴招对付敌方大将。最后木刀打匕首，小林子死得好冤:(整体比不上导演之前的《江湖论剑实录》
        "
看过,2017-08-21 20:20:07,很差,1," 10分钟放弃。对不起我不再中二……抗日战争背景下的古惑仔之热血高校2我的青春我做主
        "
